[2016/4/13 - 18:49:29] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/13 - 18:49:47] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 18:53:26] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 18:56:09] [DEBUG] Jav Trung (113.174.22.240) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/13 - 18:59:45] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 19:03:04] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 19:03:52] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/13 - 19:08:52] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 19:11:35] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 19:15:30] [DEBUG] Thien Khanh (115.75.5.203) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/13 - 19:21:55] [DEBUG] LDT Vu (113.163.117.1) VIP het han (Thoi gian su dung VIP: 1460509895 | Level: 3)
[2016/4/13 - 19:22:09] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 19:33:44] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 19:38:55] [DEBUG] Best Skill (27.3.192.179) VIP het han (Thoi gian su dung VIP: 1460468971 | Level: 3)
[2016/4/13 - 19:43:47] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 19:46:41] [DEBUG] Jav Trung (117.2.41.222) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/13 - 19:53:33] [DEBUG] Thien Khanh (115.75.5.203) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/13 - 19:58:37] [DEBUG] Army Den (101.99.52.88) VIP het han (Thoi gian su dung VIP: 1460550722 | Level: 3)
[2016/4/13 - 20:12:44] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 20:33:01] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 21:05:11] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 21:05:56] [DEBUG] Gia Hao (42.118.164.228) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/13 - 21:26:18] [DEBUG] Jav Trung (117.2.41.222) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/14 - 2:02:29] [DEBUG] Sam Regamay (172.58.168.50) VIP het han (Thoi gian su dung VIP: 1460498593 | Level: 3)
[2016/4/14 - 2:09:24] [DEBUG] Nguyen Quoc Tuan (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460507189 | Level: 3)
[2016/4/14 - 2:17:44] [DEBUG] Nguyen Quoc Tuan (151.213.165.223) VIP het han (Thoi gian su dung VIP: 1460507189 | Level: 3)
